period,start,end,approve,disapprove,no_opinion,president
2015 May 4-10,2015-05-04,2015-05-10,47,48,5,Obama
2015 Apr 27-May 3,2015-04-27,2015-05-03,48,48,4,Obama
2015 Apr 20-26,2015-04-20,2015-04-26,45,49,6,Obama
2015 Apr 13-19,2015-04-13,2015-04-19,46,50,4,Obama
2015 Apr 6-12,2015-04-06,2015-04-12,48,48,4,Obama
2015 Mar 30-Apr 5,2015-03-30,2015-04-05,47,48,5,Obama
2015 Mar 23-29,2015-03-23,2015-03-29,46,49,5,Obama
2015 Mar 16-22,2015-03-16,2015-03-22,45,50,5,Obama
2015 Mar 9-15,2015-03-09,2015-03-15,47,48,5,Obama
2015 Mar 2-8,2015-03-02,2015-03-08,46,49,5,Obama
2015 Feb 23-Mar 1,2015-02-23,2015-03-01,45,50,5,Obama
2015 Feb 16-22,2015-02-16,2015-02-22,46,49,5,Obama
2015 Feb 9-15,2015-02-09,2015-02-15,47,48,5,Obama
2015 Feb 2-8,2015-02-02,2015-02-08,46,49,5,Obama
2015 Jan 26-Feb 1,2015-01-26,2015-02-01,47,48,5,Obama
2015 Jan 19-25,2015-01-19,2015-01-25,49,47,5,Obama
2015 Jan 12-18,2015-01-12,2015-01-18,46,49,5,Obama
2015 Jan 5-11,2015-01-05,2015-01-11,46,48,7,Obama
2014 Dec 29-2015 Jan 4,2014-12-29,2015-01-04,46,48,5,Obama
2014 Dec 22-28,2014-12-22,2014-12-28,44,50,6,Obama
2014 Dec 15-21,2014-12-15,2014-12-21,45,51,5,Obama
2014 Dec 8-14,2014-12-08,2014-12-14,43,52,5,Obama
