strike_id,date,location,country,area,min_ppl_killed,max_ppl_killed,min_civil_killed,max_civil_killed,min_child_killed,max_child_killed,min_injured,max_injured,confirm_possible,air_strike,drone_strike,strike_type,min_strikes,max_strikes,long,lat,spatial_country,president,avg_ppl_killed,avg_civ_killed
YEM281,2017-10-08T00:00:00Z,Raghwan,Yemen,Marib,5,5,0,0,0,0,0,0,Confirmed,TRUE,TRUE,US air or drone strike,1,1,48.516388,15.552727,Yemen,Trump,5,0
SOM066,2017-10-16T00:00:00Z,"Bariire, Lower Shabelle region",Somalia,NA,0,5,0,2,0,0,0,8,Confirmed,TRUE,TRUE,Air operation - drone or airstrike,1,1,44.8961366,2.0473184,Somalia,Trump,2.5,1
YEM282,2017-10-16T00:00:00Z,NA,Yemen,Bayda,50,50,0,0,0,0,0,0,Confirmed,TRUE,FALSE,US air or drone strike,2,2,NA,NA,NA,Trump,50,0
YEM283,2017-10-19T00:00:00Z,NA,Yemen,Bayda,5,5,0,0,0,0,0,0,Confirmed,TRUE,TRUE,US air or drone strike,1,1,NA,NA,NA,Trump,5,0
YEM284,2017-10-19T00:00:00Z,NA,Yemen,Unknown,0,0,0,0,0,0,0,0,Confirmed,TRUE,FALSE,US air or drone strike,7,7,NA,NA,NA,Trump,0,0
YEM285,2017-10-25T00:00:00Z,NA,Yemen,Bayda,9,13,0,0,0,0,0,0,Confirmed,TRUE,FALSE,US air or drone strike,2,2,NA,NA,NA,Trump,11,0
YEM286,2017-11-02T00:00:00Z,Al Wadi,Yemen,Marib,2,2,0,0,0,0,0,0,Confirmed,TRUE,TRUE,US air or drone strike,1,1,48.516388,15.552727,Yemen,Trump,2,0
SOM067,2017-11-03T00:00:00Z,"Qandala town, Puntland",Somalia,NA,3,20,0,0,0,0,0,0,Confirmed,TRUE,FALSE,Air operation - drone or airstrike,2,2,49.87392670000001,11.4720137,Somalia,Trump,11.5,0
SOM068,2017-11-09T00:00:00Z,Bay region,Somalia,NA,3,3,0,0,0,0,0,0,Confirmed,TRUE,FALSE,Air operation - drone or airstrike,1,1,43.483738,2.4825193,Somalia,Trump,3,0
SOM069,2017-11-10T00:00:00Z,"Basra village, Lower Shabelle",Somalia,NA,13,13,0,3,0,0,0,0,Confirmed,TRUE,TRUE,Air operation - drone or airstrike,1,1,44.2479015,1.8766458,Somalia,Trump,13,1.5
YEM287,2017-11-10T00:00:00Z,NA,Yemen,Bayda,2,2,0,0,0,0,0,0,Confirmed,TRUE,TRUE,US air or drone strike,1,1,NA,NA,NA,Trump,2,0
SOM070,2017-11-11T00:00:00Z,Gaduud,Somalia,NA,1,1,0,0,0,0,0,0,Confirmed,TRUE,FALSE,Air operation - drone or airstrike,1,1,46.199616,5.152149,Somalia,Trump,1,0
YEM288,2017-11-11T00:00:00Z,NA,Yemen,Bayda,1,1,0,0,0,0,0,0,Confirmed,TRUE,TRUE,US air or drone strike,1,1,NA,NA,NA,Trump,1,0
SOM071,2017-11-12T00:00:00Z,Lower Shabelle,Somalia,NA,3,3,0,3,0,0,0,0,Confirmed,TRUE,FALSE,Air operation - drone or airstrike,1,1,44.2479015,1.8766458,Somalia,Trump,3,1.5
SOM072,2017-11-12T00:00:00Z,Puntland,Somalia,NA,23,23,0,0,0,0,0,0,Confirmed,TRUE,FALSE,Air operation - drone or airstrike,1,1,49.36531489999999,9.7865881,Somalia,Trump,23,0
YEM289,2017-11-12T00:00:00Z,NA,Yemen,Bayda,2,2,0,0,0,0,0,0,Confirmed,TRUE,TRUE,US air or drone strike,1,1,NA,NA,NA,Trump,2,0
SOM073,2017-11-13T00:00:00Z,"Awhiigle, Gaduud",Somalia,NA,0,0,0,0,0,0,0,0,Confirmed,TRUE,FALSE,Air operation - drone or airstrike,1,1,46.199616,5.152149,Somalia,Trump,0,0
SOM074,2017-11-14T00:00:00Z,"Idow Jalad, Lower Shabelle",Somalia,NA,6,6,0,0,0,0,0,0,Confirmed,TRUE,FALSE,Air operation - drone or airstrike,1,1,44.2479015,1.8766458,Somalia,Trump,6,0
